blocco;codiceCatalogo;nomeRecord;categoria;famiglia;nomeFile;percorsoRelativoAssets;referenceImageUrlSuggerito;statoAsset;note
3;F_CLASSIC_BIXIE;Classic bixie;TAGLIO;BIXIE;classic_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/classic_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/classic_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_SOFT_BIXIE;Soft bixie;TAGLIO;BIXIE;soft_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/soft_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/soft_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_90S_BIXIE;90s bixie;TAGLIO;BIXIE;90s_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/90s_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/90s_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_LAYERED_BIXIE;Layered bixie;TAGLIO;BIXIE;layered_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/layered_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/layered_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_SHAGGY_BIXIE;Shaggy bixie;TAGLIO;BIXIE;shaggy_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/shaggy_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/shaggy_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_TEXTURED_BIXIE;Textured bixie;TAGLIO;BIXIE;textured_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/textured_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/textured_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_CURLY_BIXIE;Curly bixie;TAGLIO;BIXIE;curly_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/curly_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/curly_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_WAVY_BIXIE;Wavy bixie;TAGLIO;BIXIE;wavy_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/wavy_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/wavy_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_SLEEK_BIXIE;Sleek bixie;TAGLIO;BIXIE;sleek_bixie.png;CATALOGO TECNICO/TAGLI/BIXIE/sleek_bixie.png;/assets/CATALOGO TECNICO/TAGLI/BIXIE/sleek_bixie.png;CREATO_DA_COLLEGARE;Immagine singola generata e integrata nell'archivio.
3;F_STACKED_BIXIE;Stacked bixie;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_GRADUATED_BIXIE;Graduated bixie;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_ASYMMETRICAL_BIXIE;Asymmetrical bixie;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_UNDERCUT_BIXIE;Undercut bixie;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_BIXIE_CON_FRANGIA_LUNGA;Bixie con frangia lunga;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_BIXIE_CON_CURTAIN_BANGS;Bixie con curtain bangs;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_BIXIE_CON_MICRO_FRANGIA;Bixie con micro frangia;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_PIXIE_BOB_ARROTONDATO;Pixie bob arrotondato;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
3;F_PIXIE_BOB_GRADUATO;Pixie bob graduato;TAGLIO;BIXIE;;;;DA_GENERARE;Record previsto nel Blocco 3, ma immagine non ancora disponibile.
